Interprete,Codigo,Nome,Trecho,Idioma,Catalogo
Paralamas do Sucesso,1001,A LHE ESPERAR,Lá onde o vento vai dar onde a nuvem beija ,BRA,RAF
Aviões do Forró-Banda Calypso,1002,AGORA CHORA,Sei que nada vai fazer você voltar mas por amor,BRA,RAF
Asa de Águia-Ivete Sangalo,1003,ALÉM MAR,Tudo que eu preciso eu já tenho aqui,BRA,RAF
Fresno,1004,ALGUÉM QUE TE FAZ SORRIR,Eu nunca consegui saber diferenciar,BRA,RAF
Eduardo Costa - Amado Batista,1005,AMIGO,Amigo fica um pouco aqui comigo,BRA,RAF
Ivete Sangalo,1006,CADÊ DALILA?,Vai buscar Dalila... Ligeiro...,BRA,RAF
Ivete Sangalo,1007,DENGO DE AMOR,Encontrar você que coisa boa...,BRA,RAF
Asa de Águia,1008,DIA DO ASA,Leve o seu amor pra passear,BRA,RAF
Asa de Águia,1009,FARRAUÊ,Mãos para o alto todo mundo,BRA,RAF
Chiclete com Banana,1010,FLUTUAR,Por isso vem cá me traz o amor,BRA,RAF
Edson e Hudson - Bruno e Marrone,1011,IMPREVISÍVEL,Como esquecer o seu olhar,BRA,RAF
Banda Calypso,1012,MÁQUINA DO TEMPO,Saudade que não vai embora,BRA,RAF
Tony Garrido,1013,ME LIBERTEI,Jurei nunca mais fazer som por aqui,BRA,RAF
Eduardo Costa,1014,MELHOR OU PIOR,Vou caminhar por uma estrada,BRA,RAF
Moacyr Franco,1015,MILAGRE DA FLECHA,Era alta madrugada,BRA,RAF
Hugo e Tiago,1016,MISTERIOSA,Tô em casa mais um dia que...,BRA,RAF
Guilherme e Santiago,1017,O AMOR É ASSIM,Coração cansou de esperar...,BRA,RAF
Zezé Di Camargo e Luciano,1018,O QUE VAI SER DE NÓS,Diz nada não apenas vai pegando,BRA,RAF
Armandinho,1019,OUTRA VIDA,Talvez não seja nessa vida ainda,BRA,RAF
Latino - André e Adriano,1020,PANCADAO OU SERTANEJO,O sertanejo faz o povo...,BRA,RAF
César Menotti e Fabiano,1021,PARA DE CHORAR,Você me humilhou me maltratou me,BRA,RAF
Skank,1022,PÁRA-RAIO,Passa o tempo lento ensaio,BRA,RAF
Belo,1023,PERFUME,Vivia com o coração fechado,BRA,RAF
Jake,1024,PÓ PARÁ COM PÓ,Pó pará com pó pó pará com...,BRA,RAF
Jammil e Uma Noites,1025,SAUDADE DÓI,La la la... Ah que bom seria...,BRA,RAF
Luiz Cláudio e Giuliano,1026,SEU JARDINEIRO (MARGARIDA),Sábado à tarde eu saí,BRA,RAF
Daniela Mercury,1027,SOL DO SUL,Eu trago o sol nos meus olhos,BRA,RAF
Banda Eva,1028,TODA LINDA,Olha lá ela passando toda linda,BRA,RAF
Jota Quest,1029,VEM ANDAR COMIGO,Basta olhar no fundo dos...,BRA,RAF
Banda Calypso,1030,VIAGEM LOUCA,De onde vem essa vontade de ficar,BRA,RAF
Lucinha Lins,1031,A BAILARINA,Um dois três e quatro dobro a perna e dou um,BRA,RAF
